1,1939.874,0.057,2312.63
2,2532.31,0.24,3109.641
4,2234.28,0.044,2824.68
5,2230.259,0.078,2775.282
6,2222.524,0.053,2727.889
7,2202.863,0.488,2677.295
8,2186.688,0.598,2675.295
9,1888.29,0.026,2368.575
10,2023.32,0.129,2272.53
11,2081.809,0.055,2113.536
12,2895.856,0.057,1866.024
13,1642.39,0.036,2313.33
14,2012.455,0.228,2766.376
15,2101.809,0.083,1982.9
16,2348.724,0.074,1240.14
17,1995.851,0.061,2220.668
19,2006.465,0.055,2288.722
20,1787.917,0.053,2343.604
21,2096.599,0.064,1975.542
22,2420.138,0.089,1878.465
23,2291.942,0.042,1806.618
25,2016.036,0.12,1840.24
26,1767.53,0.05,2004.51
27,2182.714,0.038,1868.507
28,1668.9,0.04,2246.5
29,2126.74,0.104,1913.723
31,2258.133,0.044,2374.25
33,1994.31,0.09,2054.47
34,2017.715,0.117,2259.755
35,1916.325,0.07,1938.479
37,1537.623,0.059,2002.462
38,2101.948,0.075,2003.233
39,1374.044,0.046,2411.754
40,1976.837,0.123,2145.555
41,2027.938,0.063,2055.467
42,2736.001,0.036,1822.25
43,2348.408,0.08,2343.482
44,2113.532,0.071,1897.453
45,1773.57,0.08,2367.13
46,2131.304,0.086,1926.188
47,1976.398,0.078,2278.721
48,2271.9,0.06,2368.24
49,2162.031,0.092,1815.334
50,2097.381,0.153,1756.115
51,1734.03,0.08,2268.99
52,2226.7,0.041,1870.676
53,2164.01,0.037,1896.296
54,2055.027,0.045,2053.235
55,2140.914,0.1,1861.955
56,2093.658,0.055,2009.852
57,2612.184,0.055,688.501
58,2104.966,0.099,1880.502
59,2069.445,0.075,2100.218
60,1597.423,0.103,1425.538
61,1833.629,0.126,1940.63
62,2159.171,0.074,2298.563
63,2047.893,0.036,2294.759
64,2061.969,0.033,2079.28
65,1691.226,0.089,2213.305
66,2171.691,0.079,1785.269
67,1913.04,0.067,2242.93
68,2177.292,0.066,1788.423
69,1551.703,0.094,2061.486
71,2095.18,0.04,1963.66
72,2091.737,0.05,2064.44
73,1938.401,0.072,2356.322
74,1836.63,0.08,1861.33
75,1999.64,0.056,2174.594
76,2095.705,0.052,1952.697
77,2131.61,0.09,1918.55
78,2355.29,0.04,1802.661
79,1893.885,0.071,2234.015
80,2035.198,0.048,2142.207
81,1925.266,0.079,1904.202
82,2099.834,0.186,1991.1
83,2162.63,0.058,2649.394
84,2082.832,0.077,2302.374
85,1903.71,0.111,1901.858
86,2299.499,0.109,1807.266
88,2164.667,0.084,2370.759
90,1688.561,0.057,2163.393
91,2466.357,0.04,1046.83
92,1832.43,0.049,2364.958
93,2053.729,0.149,2089.8
94,2097.363,0.09,1958.71
95,2072.74,0.06,3320.44
96,2191.18,0.05,1827.4
97,708.048,0.046,2474.572
98,2070.63,0.08,1973.46
100,1760.2,0.05,2376.75
101,2020.49,0.09,2277.54
102,2149.566,0.093,2586.383
103,2176.275,0.084,1895.313
105,2156.628,0.1,1849.659
106,1167.42,0.04,2305.95
107,1680.05,0.065,1940.24
108,2055.83,0.07,2031.13
109,1863.282,0.044,2345.221
110,1934.21,0.036,1820.325
111,1696.794,0.081,2327.492
112,1787.774,0.114,2248.207
113,1441.856,0.029,2191.652
114,2155.414,0,1991.735
116,2002.63,0.04,2247.711
115,2076.908,0.049,2123.455
123,3483.326,0.081,2514.271
124,776.76,0.17,2400.32
126,1743.79,0.09,1980.39
129,1680.123,0.029,2104.363
136,1962.906,0.069,1817.48
144,1567.764,0.082,1960.501
146,1685.747,0.143,1863.333
149,2777.328,0.078,2491.352
156,2041.79,0.069,2286.509
163,900.71,0.055,2927.615
169,2486.74,0.14,2410.63
185,971.58,0.051,2777.25
190,1906.77,0.05,1700.54
193,1658.91,0.04,2116.62
197,2163.27,0.11,2293.62
200,1651.96,0.034,2060.652
207,1662.024,0.065,2108.871
208,1399.544,0.195,2205.3
226,3139.33,0.19,2361.53
238,701.23,0.061,2854.494
246,1696.16,0.12,2168.52
255,1748.67,0.11,2109.57
261,493.45,0.05,1552.2
263,1686.332,0.115,2228.313
274,2520.252,0.075,2429.307
289,2324,0.112,2335.576
301,1576.91,0.1,2028.34
304,1697.976,0.133,2099.535
309,1701.716,0.099,2171.623
311,2633.32,0.12,2483.31
317,1654.17,0.05,2271.45
326,1696.21,0.14,2199.71
331,1670.25,0.063,2117.482
332,1686.16,0.08,2156.03
334,1660.22,0.05,2266.24
340,1577.842,0.045,1892.568
365,1707.69,0.071,2031.609
368,1663.477,0.122,1867.466
370,115.974,0.05,2637.577
371,531.136,0.076,1549.546
376,1761.07,0.1,2055.28
380,3005.94,0.05,2397.79
384,2267.148,0.046,2388.412
385,2367.98,0.031,2389.329
387,1671.39,0.041,2239.06
388,1690.28,0.22,2221.31
402,3449.86,0.057,2522.703
403,514.01,0.13,2591.67
